SKU,Tamanho_Pedido,Loja,Data_da_Venda,Marca,Preco
HL1007,03,Fortaleza,20100101,Dell,2300
HL1008,05,Rio de Janeiro,20100101,Philco,2000
HL1015,04,Recife,20100101,Sony,700
HL1008,05,Curitiba,20100101,Philco,2000
HL1018,05,Niteroi,20100101,Xiaomi,1200
HL1007,03,Fortaleza,20100101,Dell,2300
HL1023,03,Rio de Janeiro,20100101,Samsung,1500
HL1010,02,Curitiba,20100101,Apple,1900
HL1013,02,Rio de Janeiro,20100101,Nikon,1550
HL1010,04,Rio de Janeiro,20100101,Apple,1900
HL1009,01,Belo Horizonte,20100101,Motorola,1400
HL1007,04,Recife,20100101,Dell,2300
HL1019,05,Belo Horizonte,20100101,Apple,6500
HL1005,03,Campinas,20100102,Canon,1500
HL1007,01,Recife,20100102,Dell,2300
HL1024,04,Recife,20100102,Acer,2400
HL1005,05,Niteroi,20100102,Canon,1500
HL1009,03,Rio de Janeiro,20100102,Motorola,1400
HL1009,02,Sao Paulo,20100102,Motorola,1400
HL1024,01,Porto Alegre,20100102,Acer,2400
HL1001,02,Sao Paulo,20100102,LG,2600
HL1015,01,Sao Paulo,20100102,Sony,700
HL1015,04,Rio de Janeiro,20100102,Sony,700
HL1019,04,Recife,20100102,Apple,6500
HL1005,05,Sao Paulo,20100102,Canon,1500
HL1001,03,Fortaleza,20100103,LG,2600
HL1008,05,Belo Horizonte,20100103,Philco,2000
HL1005,05,Salvador,20100103,Canon,1500
HL1018,03,Fortaleza,20100103,Xiaomi,1200
HL1019,05,Recife,20100103,Apple,6500
HL1019,02,Curitiba,20100103,Apple,6500
HL1009,05,Sao Paulo,20100103,Motorola,1400
HL1015,01,Sao Paulo,20100103,Sony,700
HL1024,01,Salvador,20100103,Acer,2400
HL1013,04,Sao Paulo,20100103,Nikon,1550
HL1024,05,Goiania,20100103,Acer,2400
HL1015,01,Rio de Janeiro,20100103,Sony,700
HL1005,03,Salvador,20100103,Canon,1500
HL1015,01,Fortaleza,20100103,Sony,700
HL1009,03,Belo Horizonte,20100103,Motorola,1400
HL1015,02,Goiania,20100104,Sony,700
HL1019,04,Rio de Janeiro,20100104,Apple,6500
HL1008,04,Recife,20100104,Philco,2000
HL1015,05,Guarulhos,20100104,Sony,700
HL1018,01,Guarulhos,20100104,Xiaomi,1200
HL1020,03,Fortaleza,20100104,Motorola,1500
HL1001,03,Niteroi,20100104,LG,2600
HL1002,03,Salvador,20100104,Apple,2500
HL1008,02,Sao Paulo,20100104,Philco,2000
HL1015,05,Belo Horizonte,20100104,Sony,700
HL1009,02,Recife,20100105,Motorola,1400
HL1009,03,Rio de Janeiro,20100105,Motorola,1400
HL1009,05,Campinas,20100105,Motorola,1400
HL1020,01,Rio de Janeiro,20100105,Motorola,1500
HL1015,04,Sao Paulo,20100105,Sony,700
HL1005,03,Sao Paulo,20100105,Canon,1500
HL1007,01,Nova Iguacu,20100105,Dell,2300
HL1005,01,Guarulhos,20100105,Canon,1500
HL1008,05,Rio de Janeiro,20100105,Philco,2000
HL1024,03,Porto Alegre,20100105,Acer,2400
HL1008,05,Fortaleza,20100105,Philco,2000
HL1018,05,Recife,20100105,Xiaomi,1200
HL1024,03,Sao Paulo,20100106,Acer,2400
HL1005,03,Nova Iguacu,20100106,Canon,1500
HL1018,01,Sao Paulo,20100106,Xiaomi,1200
HL1018,01,Guarulhos,20100106,Xiaomi,1200
HL1008,04,Sao Paulo,20100107,Philco,2000
HL1024,01,Rio de Janeiro,20100107,Acer,2400
HL1015,04,Nova Iguacu,20100107,Sony,700
HL1015,02,Sao Paulo,20100108,Sony,700
HL1008,05,Niteroi,20100108,Philco,2000
HL1015,02,Goiania,20100108,Sony,700
HL1005,05,Rio de Janeiro,20100108,Canon,1500
HL1005,03,Belo Horizonte,20100108,Canon,1500
HL1013,05,Rio de Janeiro,20100108,Nikon,1550
HL1018,01,Niteroi,20100109,Xiaomi,1200
HL1015,01,Niteroi,20100109,Sony,700
HL1008,04,Salvador,20100109,Philco,2000
HL1013,04,Salvador,20100109,Nikon,1550
HL1008,03,Guarulhos,20100109,Philco,2000
HL1009,05,Curitiba,20100109,Motorola,1400
HL1005,05,Fortaleza,20100110,Canon,1500
HL1018,05,Fortaleza,20100110,Xiaomi,1200
HL1015,03,Belo Horizonte,20100110,Sony,700
HL1005,04,Sao Paulo,20100110,Canon,1500
HL1015,05,Salvador,20100111,Sony,700
HL1005,02,Fortaleza,20100111,Canon,1500
HL1005,04,Campinas,20100112,Canon,1500
HL1008,04,Salvador,20100112,Philco,2000
HL1024,04,Sao Paulo,20100112,Acer,2400
HL1015,02,Fortaleza,20100112,Sony,700
HL1024,05,Rio de Janeiro,20100113,Acer,2400
HL1005,04,Recife,20100113,Canon,1500
HL1013,04,Sao Paulo,20100113,Nikon,1550
HL1009,02,Guarulhos,20100113,Motorola,1400
HL1015,02,Salvador,20100113,Sony,700
HL1005,03,Curitiba,20100113,Canon,1500
HL1005,02,Fortaleza,20100113,Canon,1500
HL1015,02,Recife,20100113,Sony,700
HL1020,03,Curitiba,20100113,Motorola,1500
HL1008,04,Nova Iguacu,20100113,Philco,2000
HL1015,03,Fortaleza,20100114,Sony,700
HL1020,01,Sao Paulo,20100114,Motorola,1500
HL1015,05,Recife,20100114,Sony,700
HL1009,05,Sao Paulo,20100114,Motorola,1400
HL1013,02,Recife,20100115,Nikon,1550
HL1013,04,Belo Horizonte,20100115,Nikon,1550
HL1005,05,Salvador,20100116,Canon,1500
HL1024,01,Sao Paulo,20100116,Acer,2400
HL1009,05,Guarulhos,20100116,Motorola,1400
HL1024,02,Fortaleza,20100116,Acer,2400
HL1024,04,Belo Horizonte,20100116,Acer,2400
HL1013,05,Belo Horizonte,20100117,Nikon,1550
HL1008,04,Sao Paulo,20100117,Philco,2000
HL1018,02,Fortaleza,20100117,Xiaomi,1200
HL1015,03,Sao Paulo,20100118,Sony,700
HL1020,01,Salvador,20100118,Motorola,1500
HL1005,01,Nova Iguacu,20100118,Canon,1500
HL1013,04,Sao Paulo,20100118,Nikon,1550
HL1015,04,Goiania,20100118,Sony,700
HL1020,03,Guarulhos,20100118,Motorola,1500
HL1015,02,Rio de Janeiro,20100119,Sony,700
HL1018,03,Recife,20100119,Xiaomi,1200
HL1018,02,Rio de Janeiro,20100119,Xiaomi,1200
HL1013,04,Sao Paulo,20100119,Nikon,1550
HL1013,02,Fortaleza,20100120,Nikon,1550
HL1015,05,Rio de Janeiro,20100120,Sony,700
HL1005,03,Recife,20100120,Canon,1500
HL1018,05,Belo Horizonte,20100120,Xiaomi,1200
